Operator	Operator Domain	Found URL	Final URL
Emmy Monash		https://www.emmymonash.asn.au/residential-suites/	https://www.emmymonash.asn.au/residential-suites/
Encore Living		https://encoreliving.com.au/trafalgar	https://encoreliving.com.au/trafalgar
Bellarine Community Health		https://bch.org.au/eric-toliday-units/	https://bch.org.au/eric-toliday-units/
Ryman Healthcare		https://www.rymanhealthcare.com.au/retirement-villages/melbourne/essendon	https://www.rymanhealthcare.com.au/retirement-villages/melbourne/essendon
Ryman Healthcare		https://www.rymanhealthcare.com.au/	https://www.rymanhealthcare.com.au/
Lifestyle Communities		https://www.lifestylecommunities.com.au/	https://www.lifestylecommunities.com.au/
Eventide Homes		https://eventidehomes.com.au	https://eventidehomes.com.au
Eventide Lutheran		No website	No website
No operator		https://evergreenliving.com.au	https://evergreenliving.com.au
No operator		https://www.evergreenretirement.com.au	https://www.evergreenretirement.com.au
Lions Club		https://lionsclubs.org.au/map-location/northcote/	https://lionsclubs.org.au/map-location/northcote/
Fairview		https://fairviewvillage.org.au	https://fairviewvillage.org.au
No operator		No website	No website
Keyton		https://keyton.com.au/home/our-villages/vic/fiddlers-green	https://keyton.com.au/home/our-villages/vic/fiddlers-green
No operator		No website	No website
Keyton		https://keyton.com.au/home/our-villages/vic/forest-hills	https://keyton.com.au/home/our-villages/vic/forest-hills
No operator		No website	No website
Aveo		https://www.aveo.com.au/retirement-villages/vic/melbourne/fountain-court	https://www.aveo.com.au/retirement-villages/vic/melbourne/fountain-court
Aveo		https://www.aveo.com.au/	https://www.aveo.com.au/
Aveo		https://www.aveo.com.au/sites/default/files/2024-11/Brochure%20%E2%80%93%20Retirement%20living%2C%20care%20and%20support%20options_1.pdf	https://www.aveo.com.au/sites/default/files/2024-11/Brochure%20%E2%80%93%20Retirement%20living%2C%20care%20and%20support%20options_1.pdf
No operator		No website	No website
Teman Communities		https://teman.com.au/the-grove-retirement-village-geelong	https://teman.com.au/the-grove-retirement-village-geelong
Lifestyle Communities		https://www.lifestylecommunities.com.au/retirement-villages/highton	https://www.lifestylecommunities.com.au/retirement-villages/highton
